cds	R_CP	R_DSC	S_CP	S_DSC
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100799_c0_g1_i1:198-1430(-)	1601.43649973723	565.81058864466	1639.83926058573	665.060401264923
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10079_c0_g1_i1:594-4310(-)	4.77379238593532	8.3249926434984	3.55011720157564	2.73148270741813
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	96.7223550887756	27.6451078193586	154.249530445418	24.9135273410493
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10080_c2_g1_i1:482-1237(+)	9.50349827468423	5.26931760275235	14.0382823264362	10.4428191488462
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10080_c2_g1_i2:482-1237(+)	11.1371996579807	7.50708862976771	0	0
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10080_c2_g2_i1:1-1269(+)	14.2680179935936	15.5912324625414	14.9963213690572	15.0905068312703
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10085_c0_g2_i1:941-2617(-)	2.11863670033701	1.84474472892702	0.352291621299717	0.483564492334392
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10090_c0_g2_i1:311-1657(+)	451.076208389671	556.182146185494	381.105651747017	459.971101732538
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10092_c1_g1_i1:818-1801(-)	12.0601443606207	21.2668012752367	9.94853881571713	20.6914477714919
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10092_c1_g1_i2:761-1750(-)	0	0.291495675851324	4.91330793567735	1.07016397354436
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10092_c1_g1_i3:761-1750(-)	13.2524359506906	20.2594627128348	13.5567984063414	14.9808768559289
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10092_c1_g1_i4:818-1801(-)	0	0	5.05926227703037	0.578568944026917
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10093_c0_g1_i1:542-1438(-)	67.3423088879128	35.6813971159266	81.8021615316346	48.4672587154687
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100966_c0_g1_i1:1-315(-)	0.804571795228267	1.13093968860721	1.17610205168388	2.22737251118749
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10098_c0_g1_i1:506-1564(-)	1.23435037929941	1.64263821820439	4.56906339948287	29.3402351319284
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101043_c0_g1_i1:618-1772(-)	48.8278449340063	37.3984859407415	51.7976624733849	62.2108877744181
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10104_c0_g1_i1:512-2008(-)	48.8114903312499	49.400006748343	38.7140012679801	52.5111999032585
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10105_c25_g19_i1:1-444(+)	0.408107276564026	0.691284463767793	1.48584954701739	0.387011533875284
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10109_c0_g1_i1:1058-2410(-)	23.2892285982163	23.6443981050045	17.4137388912861	31.2654102336852
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10111_c0_g1_i1:644-1396(+)	173.461922294819	73.1524224885963	507.017812692062	269.123311207455
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10113_c1_g1_i1:544-1563(-)	311.439290103089	77.6662405601293	146.909650368252	42.2446737818686
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101141_c0_g1_i1:1-321(-)	3.40125668648198	3.1773425855509	2.55206461243163	2.93505080764038
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101141_c0_g2_i1:1-330(-)	4.65014338852038	5.28595339504595	3.48732143028457	5.80249298423096
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101148_c0_g1_i1:432-998(+)	173.661210065345	137.90165252062	145.745275889717	120.284508006218
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10116_c0_g1_i1:575-2014(+)	8.71894280832125	15.8211434993699	9.90362265895028	10.8541242287979
