cds	R_T1	R_T2	R_T3	R_T4	S_T1	S_T2	S_T3	S_T4
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	52.3920544070751	67.3670796211101	82.8534931780318	10.0268528506044	1101.29420628085	1235.91341462455	1012.86483036353	708.719062640212
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	558.156967708631	546.673662265891	402.145812475438	667.365260734737	840.397207423618	908.950996586519	981.32694847714	1397.47354409187
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR112346_c0_g1_i1:482-808(+)	4.71369169898696	20.96256521396	4.20183715575614	5.45325064537685	47.7300929734438	21.0400261596542	39.5966865933295	16.4049432713178
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR115523_c0_g1_i1:314-922(+)	0.353897099178452	18.4921895826105	24.4001178705451	15.0240035193123	1.18440839811477	7.05440534221072	10.0973012628205	0.545972049648699
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR116094_c0_g1_i1:2-481(+)	785.812887459753	820.502444373507	356.529895814064	552.230191059105	1110.63269520436	799.437149680489	795.695190769504	1386.34789115635
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR11631_c2_g11_i4:494-2551(-)	562.564271439526	172.674488718991	191.134323638834	150.975876589331	397.079967742241	294.53843019401	247.540044183274	180.781299069665
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR12306_c0_g1_i1:246-2477(+)	209.588959147894	142.913624486217	106.045665835168	165.851347678527	166.75950728507	169.400001398516	158.655007571113	239.154182890165
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR12309_c1_g10_i2:388-867(+)	203.665353742717	133.021062657162	110.205262808864	181.788069476359	161.675064904089	145.307016044127	139.162802064386	163.50822587648
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR12375_c1_g1_i1:459-3251(-)	11148.697972093	10308.0304061916	5545.62692928821	5347.64842613865	10761.7338471872	12608.0265153403	9986.85020844047	13509.4255307261
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR125370_c0_g1_i1:465-1295(-)	601.002205541335	1851.05630491565	2526.47707747667	2286.86544140828	640.455210679299	1247.47794871073	1517.77248718211	1153.33501195294
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR126243_c0_g1_i1:2-310(+)	147.8035010693	271.593723052597	76.4700434274493	44.4506239494862	815.377521258224	463.513221317086	448.312083916922	316.292171180027
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR132530_c0_g1_i1:210-1289(-)	184.024850421818	593.010093705557	836.582372776615	741.541891192256	194.375591353347	365.349751969457	474.569930971382	225.457659166001
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR133872_c0_g1_i1:593-916(+)	421.881708220365	328.821645562741	258.970164939986	235.561475896462	485.458532569216	416.351364182161	475.902143901434	305.775561757014
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR136793_c0_g1_i1:2-964(+)	241.594584635339	868.740722190145	1354.82493209845	1546.36663678882	289.528241289056	806.290182783596	890.461346282663	626.791526510097
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR137062_c1_g1_i1:124-1611(+)	9520.97664305406	6687.5587372565	4133.59159798755	1373.09955977542	5689.28615042965	1775.16723363669	1370.14377428557	508.709460870018
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR140069_c0_g1_i1:1975-3513(-)	391.187912339217	379.660520154873	304.065425118451	346.509121367098	452.025399277173	444.63408011323	430.300999070161	432.0649866937
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR141854_c1_g1_i1:2-364(+)	2340.34845604396	1114.51876664562	1069.71539284288	1731.24049414565	1196.47252445919	955.971756529478	960.776130938565	1289.46065287241
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR141978_c0_g1_i1:481-1182(-)	30.9356660589531	68.8235647068335	88.6373304966219	61.9118577960936	26.1298555508926	56.9546864146296	56.0596713019131	19.6653114288212
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR144910_c0_g1_i1:220-1251(-)	8.07650519787717	9.1529296224612	6.94143562381204	25.5221070437164	68.3818348247161	70.8236009163598	54.5504156359226	47.4792570230858
