cds	logFC	adj.P.Val	focus_term
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR100801_c0_g1_i1:422-1495(-)	-2.80764476593873	0.0100582609934778	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	2.49286296556439	0.00289425386641718	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	2.05047086842074	0.0365081208580046	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104193_c0_g1_i1:340-1662(-)	-2.55255698004513	0.00983882988625157	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10564_c2_g1_i2:384-986(-)	-5.3904629188076	0.0445355609892878	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10634_c3_g2_i4:2-1969(+)	-7.56541472912493	0.00303515975103385	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i1:3-710(-)	-2.971125977102	0.0233459203290592	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i2:3-410(-)	-3.63444881965647	0.00680282385207516	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i3:21-779(-)	-3.87758846388966	0.0291901007222029	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g12_i4:21-377(-)	-3.7916748821421	0.00303515975103385	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10638_c0_g6_i1:21-377(-)	-2.58113499905009	0.0209039332615572	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i2:20-562(-)	-3.57591160721321	0.0308566633333694	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR106641_c0_g1_i3:21-563(-)	-3.31005352453497	0.0372569850655909	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR108095_c0_g1_i1:318-722(+)	-2.61942333529519	0.0323716629393742	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR108449_c0_g1_i1:389-796(-)	-2.35254990363627	0.0129507861397296	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR112346_c0_g1_i1:482-808(+)	6.10569968284466	0.0285588703008016	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR115523_c0_g1_i1:314-922(+)	6.52666353773789	0.0295070573699579	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR116094_c0_g1_i1:2-481(+)	3.00211931601526	0.032007354112002	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR11631_c2_g11_i4:494-2551(-)	2.59053979414492	0.0177795480318412	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR116644_c0_g1_i1:125-667(+)	-2.07073154217592	0.0370260718301145	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR11670_c3_g5_i1:1-354(+)	-2.69973664374771	0.0489473432389795	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR122339_c1_g1_i1:448-861(-)	-2.16903480311267	0.00349209133641123	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR122365_c0_g1_i1:9-716(-)	-2.60663839745574	0.0445437674420123	S_cType
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR12306_c0_g1_i1:246-2477(+)	4.65791217203711	0.0445437674420123	S_cType
