R_T4_rep1	R_T4_rep2	R_T4_rep3	R_T1_rep1	R_T1_rep2	R_T1_rep3	R_T2_rep1	R_T2_rep2	R_T2_rep3	R_T3_rep1	R_T3_rep2	R_T3_rep3	S_T4_rep1	S_T4_rep2	S_T4_rep3	S_T1_rep1	S_T1_rep2	S_T1_rep3	S_T2_rep1	S_T2_rep2	S_T2_rep3	S_T3_rep1	S_T3_rep2	S_T3_rep3
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104134_c0_g1_i1:490-879(+)	12.7190087027848	8.83782740147074	8.52372244755769	70.1505358729755	60.1976773066611	26.8279500415886	65.9161214297131	62.7102251800954	73.4748922535217	117.690272569855	73.5268285987812	57.3433783654592	771.798024160967	613.736064035835	740.623099723833	1084.95501019981	1023.75128927417	1195.17631936856	1468.9028520916	1040.53755473939	1198.29983704266	975.292385923784	1007.38990547872	1055.91219968808
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR104185_c0_g1_i2:385-2772(+)	741.952882283175	581.448757478404	678.694142442633	539.751890632011	552.79390474121	581.925107752671	402.024424097501	842.835531716729	395.161030983444	433.428599678506	397.261205591216	375.747632156593	1358.49262302732	1516.6012965382	1317.32671271009	975.895696893007	802.891310080522	742.404615297326	884.009324347289	1028.60091951035	814.242745901917	1016.60873110414	934.143727390963	993.228386936316
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR112346_c0_g1_i1:482-808(+)	7.99108935712717	3.98583213957847	4.3828304394249	4.25422024490556	4.79478760359256	5.09206724846275	8.63736030567043	52.0474339049321	2.2029014312776	2.76630489698944	5.79968860969211	4.03951796058687	20.2926806073546	19.4329733033825	9.48917590321618	70.288948398931	32.5628806744156	40.3384498469849	16.4979029741623	23.6512784467039	22.9708970580964	64.4119274061036	30.664795749712	23.7133366241729
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR115523_c0_g1_i1:314-922(+)	14.3412877806849	20.09297765996	10.6377451172919	0.391329124761366	0.670362172773991	0	34.1100844994893	0	21.3664842483422	19.1320705413952	28.1860746786306	25.8822083916094	0.580218442067088	0	1.05769770687901	1.11626636962716	1.05644238064793	1.38051644406922	11.6318714837565	6.85003806588526	2.6813064769904	7.83380425304329	11.475688565253	10.9824109701652
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR116094_c0_g1_i1:2-481(+)	570.348838949037	510.859584913306	575.482149314971	687.931174814843	625.610525482867	1043.89696208155	420.333830729014	1639.03944625107	402.134056140437	376.646363554839	303.949773578773	388.993550308579	1337.81467931561	1568.25087480321	1252.97811935022	984.505669455087	1045.91304016944	1301.47937598855	775.942025556943	804.491038997686	817.878384486839	827.919715507341	744.763341297415	814.402515503757
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR11631_c2_g11_i4:494-2551(-)	130.981807751549	151.004481302331	170.941340714113	530.211361206753	536.001443311171	621.480009800654	202.027970437953	45.7303567978513	270.26513892117	274.729284714423	167.035214041739	131.638472160339	198.379002430637	202.779823709895	141.185071068462	443.007341338602	458.012512904371	290.220048983751	285.28543186259	269.593628473193	328.736230246248	241.687594578699	215.549275440187	285.383262530936
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR12306_c0_g1_i1:246-2477(+)	179.481763447102	129.219870967142	188.852408621336	195.363127309303	200.585685790815	232.818064343565	82.0702524649948	260.595570147275	86.0750508463802	118.764108416371	90.8402877753698	108.532601313763	244.783700688761	244.592249417357	228.086598564378	170.035210517954	174.537151307046	155.70616003021	148.84783415377	185.081348892824	174.270821148955	136.122355226022	160.96640391562	178.876263571698
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR12309_c1_g10_i2:388-867(+)	233.498517799632	149.692096640845	162.173593988601	212.001491560427	181.141921621029	217.852648046696	149.669340876317	173.054497391693	76.3393497034771	95.702817472089	115.777478532164	119.13549242234	170.277889146482	143.748601869522	176.498186613435	172.330185021743	158.100679770051	154.594329920474	120.970917106366	184.684410079917	130.265720946097	130.21988144406	139.618406530689	147.650118218409
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR12375_c1_g1_i1:459-3251(-)	3220.49813487129	6904.42347716963	5918.02366637503	8695.06935026554	12154.1658793054	12596.8586867082	6538.4412317837	18892.3610628578	5493.28892393324	5913.08105345631	5195.42670891141	5528.3730254969	12608.711366972	16678.416089068	11241.1491361383	11951.3451795243	12933.7744387866	7400.08192325076	13429.1282395272	9521.16814155975	14873.7831649339	8242.83853459245	8082.72679106026	13634.9852996687
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR125370_c0_g1_i1:465-1295(-)	1758.01919034842	3081.98885708772	2020.5882767887	605.314595813352	607.164442364018	590.527578446634	2378.07911979739	507.077165029035	2668.01262992053	2341.89321710873	2799.51296783211	2438.02504748917	1300.4835414416	997.502726170102	1162.01876824713	691.216425953969	635.862968677962	594.286237405965	1438.35957999204	1396.87022619203	907.204039948113	1308.92124177839	1778.58201754359	1465.81420222434
