UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
20	0
0	0
0	9
9	9
4	0
7860	0
66	222
5	222
9	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
4	0
1	0
442	2
3	0
3	0
0	0
4	0
0	0
0	0
89	38
0	140
0	140
0	0
173	0
0	0
0	0
0	0
72	0
354	0
0	0
8	0
13	0
0	0
1	0
0	0
1008	0
0	0
817	0
0	0
0	0
35	17
0	17
0	17
26	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
14	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	0
9	0
1	0
0	0
0	0
2	0
12	0
0	0
868	0
1	0
3	0
6	0
317	156
12	156
24389	0
1036	1898
572	1898
405	0
2	1
3213	1
34906	0
2233	0
529	0
2	0
0	1421
0	1424
0	1424
15	878
3185	0
444	0
37	0
1741	0
2974	0
0	0
2695	0
0	0
19019	0
53	0
2349	0
37	283
0	283
348	0
0	0
0	0
6	0
0	2
1	2
0	0
0	8
0	0
0	8
0	0
0	0
7	0
0	0
2	0
0	0
0	0
0	0
0	0
1	0
10	0
8090	0
1	0
7	0
9	385
0	401
2	352
0	336
0	0
0	0
3	0
0	0
0	0
0	0
1195	0
0	0
0	0
6	0
0	0
0	0
0	0
5	0
20	4
5	6
5	6
0	4
0	0
0	0
0	0
0	0
28	0
2	0
4	0
7	0
0	2
0	0
4	3
0	3
0	0
0	0
26	0
0	0
0	0
0	0
0	0
0	1
897	1
696	0
31	0
0	0
0	0
0	0
11	0
0	0
6	0
0	0
330	0
0	0
0	0
4561	0
0	0
0	0
0	8
0	8
1373	0
33	28
58	2
0	0
2460	0
0	0
0	0
0	0
0	0
115	0
0	0
0	0
0	0
55	0
13	31
26	31
5	0
5	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
8	1
0	0
0	0
252	0
2	9
24	0
0	0
2	0
6	0
0	0
0	4
5	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
6	0
0	0
0	183
0	133
0	256
0	306
0	0
0	0
4	0
0	0
0	3
0	3
1	0
3	68
0	68
519	0
0	0
0	0
1982	61
3903	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
0	0
0	0
62	0
0	0
0	0
0	0
1073	0
0	0
0	0
0	0
8	0
0	0
0	0
4	0
12	5
0	0
7	0
219	0
103	125
27	2
8	212
0	0
68	210
0	0
0	0
0	0
0	0
245	2617
408	2617
0	0
1	0
0	0
0	0
0	0
0	0
6	9
0	9
3	0
18	0
