UniqueCount	AmbigCount
1959	0
1733	0
110	33
2	0
1771	0
787	0
302	0
310	0
21216	0
1234	0
1758	49
331	0
861	0
590	0
9704	0
972	0
2162	0
46	0
142	0
569	0
830	7
536	7
33	227
122	959
1038	929
92	947
971	1563
57008	0
1079	0
260	0
1726	0
45	1855
25	1855
226	0
671	0
1154	0
7311	0
616	354
32880	0
364	0
10161	0
286	0
2629	0
990	115
2231	0
126	0
1725	0
1628	0
672	12
624	0
3	3504
459	222
553	0
400	0
4315	0
433	0
156	0
131	0
775	619
888	619
3145	0
2296	25
44	0
4685	0
628	0
1650	0
15825	0
550	0
945	0
906	0
683	0
1192	0
33	66
22	0
26	0
1105	1080
1182	49
1117	358
1810	0
8605	0
1210	109
740	109
492	956
361	0
7021	0
124	314
8	305
413	0
101	9
32	427
25	427
3330	0
27	22
361	0
44329	0
999	0
5891	0
1274	0
209	0
385	0
7	0
297	1
528	5
405	349
4388	0
3	0
133	0
1743	93
265	0
182	0
1377	82
679	0
140	0
37	125
102	7275
176	0
1579	0
5235	0
386	0
344	0
103	0
277	288
314	145
3	145
5909	0
507	0
277	116
1336	116
117	0
2	8
55	2
48	15
4	0
2013	0
380	2737
1525	2893
1516	0
591	0
41	0
206	6183
289	6183
1511	0
132	0
99	0
957	0
951	0
2220	1734
1198	1610
378	1764
262	22
466	65
3030	0
969	1
1463	0
10772	4767
960	0
250	0
543	0
1000	0
2025	0
932	1120
14123	0
182	10329
18	10330
1002	0
377	0
267	0
6221	0
1023	0
154	1027
2179	0
1271	0
702	43
8596	43
1769	6493
2947	165
61	4
81	4
149	167
285	864
1361	125
72	197
295	53
1434	0
8	0
0	324
6285	0
1627	80
156	80
765	0
428	0
941	0
5610	0
339	0
906	1
38	710
277	6
442	2713
1661	136
1852	472
509	0
411	0
389	0
1217	0
3539	0
1256	0
248	0
756	0
611	57
211	0
309	37
3817	48
6210	26
6	28
6	20
1599	0
216	0
200	2
17	293
4050	662
2262	633
60	284
3239	1576
1594	1714
1672	3070
184	0
1441	0
799	0
97	33
29639	0
1060	0
478	0
1676	0
800	0
1590	0
13	0
42699	0
196	0
3728	0
4032	0
412	0
144	530
61201	0
437	0
1	0
2637	0
114	0
612	0
175	0
163	0
195	74
110	17
440	0
38	0
46	225
2	225
98	0
48	2
115	0
1899	140
224	140
107	0
132	0
13	14
191	0
2369	0
0	0
251	0
1153	154
1641	0
8809	182
4759	1
497	4
314	0
119	593
68	0
421	0
45	0
260	2
59	8
33	8
91	2
29	11
121	11
188	0
269	0
1081	0
1795	0
268	39
164	0
814	0
279	0
0	0
134	0
1535	0
417	0
1212	1
3	34
205	34
504	0
277	0
565	20
153	85
30	73
590	13
31	79
263	0
533	0
220	0
12	0
970	0
19	0
216	3
79	3
740	2
0	227
0	193
1756	82
1017	29
33	0
262	65
570	110
0	1127
0	857
3224	0
1449	0
276	0
77	0
1138	0
45	0
131	0
15	0
802	0
258	13
208	0
1151	0
230	12
72	2
858	0
1209	0
9	0
10	2
58	0
31	7
68	0
849	0
906	26
100	0
67	0
244	683
1067	583
121	723
92	0
3825	0
184	0
13	0
15449	0
555	0
45	0
2551	121
982	121
43	8
286	0
844	31
58	0
730	2
147	0
17	0
9397	0
604	698
4503	698
45	0
585	0
7	269
1730	259
10	310
260	311
243	1
739	117
1197	385
0	366
47	347
3	0
158	0
24	0
419	2
21	0
178	62
53	62
164	14
264	14
0	0
17	111
9	111
391	0
182	0
145	153
0	265
706	4
546	4
1252	150
10	150
875	53
19	0
18	0
25	0
1896	0
681	682
90	671
102	0
998	87
45	40
136	45
37	0
484	0
59	0
117	0
295	0
8451	0
3	140
0	140
14	0
368	0
83	0
286	0
222	0
1	0
37	3516
768	274
48	236
7	0
